id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
354,Airbus,AIRBUS A321-231,4010dd,EFW169K,United Kingdom,6347.46,175.43,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
355,Airbus,AIRBUS A321-231,4010dc,EFW811N,United Kingdom,76.2,69.82,2700,8532,2026-08-17 20:37:15,2026-08-17 20:37:37.750911
356,Airbus,A319-100,4406f0,EJU595X,Austria,11277.6,226.1,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
357,Boeing,BOEING 737-8K5,406c81,EXS34RY,United Kingdom,10972.8,232.03,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
358,Boeing,BOEING 737-8K5,406c80,EXS9W,United Kingdom,11582.4,203.84,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
359,Airbus,AIRBUS A320-214,406c72,EZY28YR,United Kingdom,,7.2,2500,7900,2026-08-17 20:36:27,2026-08-17 20:37:37.750911
360,Boeing,BOEING 787-9 Dreamliner,406c3b,VIR300,United Kingdom,11269.98,284.45,5500,17380,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
361,Airbus,AIRBUS A321-211,406add,EXS39BG,United Kingdom,11277.6,249.82,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
362,Boeing,BOEING 737-8K5,406ae8,TOM41N,United Kingdom,3474.72,162.97,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
363,Airbus,AIRBUS A320-232,406ae2,EFW91P,United Kingdom,10965.18,217.67,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
364,Airbus,Airbus A319-111,440732,EJU41EQ,Austria,8816.34,247.73,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
365,Boeing,737-8 2000,48c2a1,RYR5XC,Poland,11277.6,256.49,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
366,Boeing,737NG 8FH/W,49d006,TVS2370,Czech Republic,11277.6,233.96,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
367,Boeing,BOEING 737-86Q,406ac4,EXS5RJ,United Kingdom,11582.4,207.8,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
368,Boeing,Boeing 737-8AS (W),48c12d,RYR60WC,Poland,11277.6,226.91,2400,7584,2026-08-17 20:09:34,2026-08-17 20:37:37.750911
369,Boeing,Boeing 737-8AS (W),48c12b,RYR68KK,Poland,11887.2,251.05,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
